neighborhood_municipality,infections,reinfections,deaths,hospitalizations,pcr_tests,positive_pcr_tests,update_date
Aleppo,2146,169,19,27,2879,323,2023-04-10
Allegheny Center (Pittsburgh),1701,195,5,19,3127,414,2023-04-10
Allegheny West (Pittsburgh),523,76,0,5,1133,119,2023-04-10
Allentown (Pittsburgh),3525,582,2,39,5154,681,2023-04-10
Arlington (Pittsburgh),2601,397,9,35,4050,502,2023-04-10
Arlington Heights (Pittsburgh),213,16,3,4,573,44,2023-04-10
Aspinwall,2974,286,2,16,6339,630,2023-04-10
Avalon,6566,784,15,88,10431,1194,2023-04-10
Baldwin Borough,34991,4417,80,396,47295,6265,2023-04-10
Baldwin Township,2666,191,2,16,3814,529,2023-04-10
Banksville (Pittsburgh),6273,813,22,45,8669,1137,2023-04-10
Bedford Dwellings (Pittsburgh),1602,286,7,43,2646,405,2023-04-10
Beechview (Pittsburgh),10080,1069,19,99,16240,2111,2023-04-10
Bell Acres,1378,178,6,13,2522,336,2023-04-10
Bellevue,10171,1251,12,85,15761,2013,2023-04-10
Beltzhoover (Pittsburgh),2256,383,6,53,3403,511,2023-04-10
Ben Avon,1954,176,5,10,3679,436,2023-04-10
Ben Avon Heights,414,23,0,0,829,105,2023-04-10
Bethel Park,47162,5563,111,354,70327,8319,2023-04-10
Blawnox,1531,178,5,21,2640,289,2023-04-10
Bloomfield (Pittsburgh),12642,1299,12,78,26529,2440,2023-04-10
Bluff (Pittsburgh),21602,1922,5,69,23265,2161,2023-04-10
Bon Air (Pittsburgh),777,54,2,13,1447,212,2023-04-10
Brackenridge,6278,829,27,90,9518,993,2023-04-10
Braddock,3193,524,1,55,5132,676,2023-04-10
Braddock Hills,2330,391,5,38,4015,494,2023-04-10
Bradford Woods,967,41,1,8,2041,266,2023-04-10
Brentwood,14394,1623,24,110,20601,2794,2023-04-10
Bridgeville,7762,770,16,63,9906,1427,2023-04-10
Brighton Heights (Pittsburgh),10679,1434,17,123,17678,2189,2023-04-10
Brookline (Pittsburgh),17151,1802,22,145,26221,3444,2023-04-10
California-Kirkbride (Pittsburgh),1041,127,4,8,1801,220,2023-04-10
Carnegie,10832,1478,13,77,15593,2180,2023-04-10
Carrick (Pittsburgh),12637,1663,30,159,19537,2601,2023-04-10
Castle Shannon,10713,1340,11,64,16497,2050,2023-04-10
Central Business District (Pittsburgh),7243,474,1,41,17002,1385,2023-04-10
Central Lawrenceville (Pittsburgh),9800,1304,24,67,16719,1259,2023-04-10
Central Northside (Pittsburgh),4145,403,5,45,8175,912,2023-04-10
Central Oakland (Pittsburgh),6282,333,1,9,15007,1152,2023-04-10
Chalfant,861,54,1,9,1565,178,2023-04-10
Chartiers City (Pittsburgh),652,101,2,12,1093,167,2023-04-10
Chateau (Pittsburgh),262,62,0,1,491,54,2023-04-10
Cheswick,2183,236,3,33,2841,404,2023-04-10
Churchill,3022,233,6,39,6221,690,2023-04-10
Clairton,9492,1274,21,145,14554,1982,2023-04-10
Collier,11901,1417,12,55,16798,2372,2023-04-10
Coraopolis,7745,1179,14,62,9638,1457,2023-04-10
Crafton,7690,659,18,70,11773,1712,2023-04-10
Crafton Heights (Pittsburgh),4853,567,7,40,7847,1138,2023-04-10
Crawford-Roberts (Pittsburgh),3690,585,12,92,6481,864,2023-04-10
Crescent,2986,538,10,31,4074,592,2023-04-10
Dormont,10330,1228,7,60,16649,2068,2023-04-10
Dravosburg,2542,371,8,36,3676,489,2023-04-10
Duquesne,7760,1165,27,145,11850,1702,2023-04-10
Duquesne Heights (Pittsburgh),3589,349,5,25,5652,729,2023-04-10
East Allegheny (Pittsburgh),2582,320,6,38,4546,570,2023-04-10
East Carnegie (Pittsburgh),857,83,2,13,1169,168,2023-04-10
East Deer,2978,696,1,30,3646,408,2023-04-10
East Hills (Pittsburgh),3693,480,8,70,6056,840,2023-04-10
East Liberty (Pittsburgh),9707,1246,38,147,18503,2098,2023-04-10
East Mckeesport,2571,335,6,47,3673,571,2023-04-10
East Pittsburgh,3284,665,6,51,4859,594,2023-04-10
Edgewood,4329,357,1,22,9259,853,2023-04-10
Edgeworth,1886,372,2,3,3444,307,2023-04-10
Elizabeth Borough,2018,302,5,27,2993,424,2023-04-10
Elizabeth Township,16741,1925,42,242,23791,3771,2023-04-10
Elliott (Pittsburgh),3135,296,6,38,4524,669,2023-04-10
Emsworth,3540,330,0,21,5802,815,2023-04-10
Esplen (Pittsburgh),526,152,0,8,685,80,2023-04-10
Etna,4581,728,5,40,6733,867,2023-04-10
Fairywood (Pittsburgh),7752,2054,2,20,10578,617,2023-04-10
Fawn,2323,246,4,35,3270,511,2023-04-10
Findlay,6067,573,10,53,8481,1360,2023-04-10
Fineview (Pittsburgh),1357,135,4,24,2295,276,2023-04-10
Forest Hills,7336,687,8,68,13920,1658,2023-04-10
Forward,3974,414,13,46,5303,760,2023-04-10
Fox Chapel,4755,341,4,36,11476,1041,2023-04-10
Franklin Park,14657,1023,29,84,27497,3379,2023-04-10
Frazer,1626,273,2,17,2118,280,2023-04-10
Friendship (Pittsburgh),3143,408,0,11,7264,623,2023-04-10
Garfield (Pittsburgh),6530,826,20,88,10635,1195,2023-04-10
Glassport,6794,772,16,106,9662,1368,2023-04-10
Glen Hazel (Pittsburgh),6686,1093,25,56,5659,454,2023-04-10
Glen Osborne,756,79,0,1,1190,103,2023-04-10
Glenfield,158,16,0,3,353,46,2023-04-10
Green Tree,6760,671,8,53,10117,1478,2023-04-10
Greenfield (Pittsburgh),10478,1247,11,87,20481,2363,2023-04-10
Hampton,18367,2162,30,155,30575,3769,2023-04-10
Harmar,8701,1662,32,79,8636,800,2023-04-10
Harrison,12241,1490,28,188,18611,2767,2023-04-10
Hays (Pittsburgh),332,22,1,4,529,84,2023-04-10
Haysville,133,34,0,1,250,14,2023-04-10
Hazelwood (Pittsburgh),5813,1024,10,90,9277,1230,2023-04-10
Heidelberg,1866,242,3,12,2427,326,2023-04-10
Highland Park (Pittsburgh),10015,1074,13,60,24037,1772,2023-04-10
Homestead,4966,946,11,87,7367,959,2023-04-10
Homewood North (Pittsburgh),3938,810,8,80,6152,720,2023-04-10
Homewood South (Pittsburgh),3812,521,9,84,5827,690,2023-04-10
Homewood West (Pittsburgh),945,113,0,17,1508,158,2023-04-10
Indiana,13624,2734,23,96,15570,1650,2023-04-10
Ingram,4211,535,6,44,6546,985,2023-04-10
Jefferson Hills,20181,2656,57,193,31098,3619,2023-04-10
Kennedy,16765,2238,51,123,20443,2307,2023-04-10
Kilbuck,714,27,0,5,1126,166,2023-04-10
Knoxville (Pittsburgh),4608,635,6,65,7192,1033,2023-04-10
Larimer (Pittsburgh),3820,621,13,67,6204,648,2023-04-10
Leet,1469,135,3,10,2490,325,2023-04-10
Leetsdale,1243,122,2,12,2073,234,2023-04-10
Liberty,3826,450,9,40,4930,822,2023-04-10
Lincoln,1046,110,3,24,1578,287,2023-04-10
Lincoln Place (Pittsburgh),4412,672,10,56,6594,964,2023-04-10
Lincoln-Lemington-Belmar (Pittsburgh),15904,3623,23,112,18485,1184,2023-04-10
Lower Lawrenceville (Pittsburgh),3659,333,3,33,6985,731,2023-04-10
Manchester (Pittsburgh),2881,379,7,59,4917,730,2023-04-10
Marshall,7991,468,6,53,17438,1964,2023-04-10
Marshall-Shadeland (Pittsburgh),5452,753,6,65,8576,1174,2023-04-10
McCandless,38921,4329,151,356,59603,6809,2023-04-10
